,Sample ID,Sample Name,Lab Name,Date Received,Date Completed,Strain,Category,Type,Pass/fail?,Fail Reason,Active,Regulator ID,Regulator Batch ID,Regulator Batch ID 2,Regulator Lot ID,Regulator Pre-Transfer ID,Batch ID,Batch Size,Batch Size Unit,Lot ID,Lot Size,Lot Size Unit,Harvest ID,Production Date,Manifest ID,Production Run ID,Units Per Serving,Servings Per Container,Unit Description,Container Description,cannabinoids_thca,cannabinoids_thcv,cannabinoids_cannabinoids_unit,cannabinoids_cbda,cannabinoids_cbga,cannabinoids_cbn,cannabinoids_cbdva,cannabinoids_cbd,cannabinoids_vitamin_e_acetate,cannabinoids_cbdv,cannabinoids_cbc,cannabinoids_d8_thc,cannabinoids_cbg,cannabinoids_d9_thc,cannabinoids_cbl,pesticides_daminozide,pesticides_mgk_264,pesticides_etoxazole,pesticides_methiocarb,pesticides_ethoprophos,pesticides_fludioxonil,pesticides_chlorpyrifos,pesticides_chlorantraniliprole,pesticides_clofentezine,pesticides_diazinon,pesticides_pyrethrins,pesticides_fipronil,pesticides_spiroxamine,pesticides_phosmet,pesticides_kresoxim_methyl,pesticides_etofenprox,pesticides_azoxystrobin,pesticides_dimethoate,pesticides_permethrins,pesticides_fenoxycarb,pesticides_methyl_parathion,pesticides_piperonyl_butoxide,pesticides_metalaxyl,pesticides_bifenazate,pesticides_hexythiazox,pesticides_abamectin,pesticides_paclobutrazol,pesticides_tebuconazole,pesticides_methomyl,pesticides_malathion,pesticides_prallethrin,pesticides_pyridaben,pesticides_cyfluthrin,pesticides_bifenthrin,pesticides_myclobutanil,pesticides_pesticides_unit,pesticides_acetamiprid,pesticides_imazalil,pesticides_spinosad,pesticides_fenpyroximate,pesticides_aldicarb,pesticides_boscalid,pesticides_cypermethrin,pesticides_oxamyl,pesticides_spiromesifen,pesticides_propiconazole,pesticides_chlorfenapyr,pesticides_trifloxystrobin,pesticides_thiamethoxam,pesticides_acephate,pesticides_carbaryl,pesticides_propoxur,pesticides_acequinocyl,pesticides_flonicamid,pesticides_thiacloprid,pesticides_dichlorvos,pesticides_imidacloprid,pesticides_naled,pesticides_spirotetramat,pesticides_carbofuran,microbials_aspergillus,microbials_coliforms,microbials_salmonella,microbials_aerobic_bacteria,microbials_ecoli,microbials_btgn_bacteria,microbials_yeast_and_mold,microbials_microbials_unit,solvents_propane,solvents_hexanes,solvents_chloroform,solvents_heptane,solvents_methylene_chloride,solvents_ethylene_oxide,solvents_trichloroethene,solvents_isopropanol,solvents_ethyl_ether,solvents_pentane,solvents_toluene,solvents_xylenes,solvents_butane,solvents_methanol,solvents_acetonitrile,solvents_ethyl_acetate,solvents_benzene,solvents_solvents_unit,solvents_acetone,solvents_1_2_dichloro_ethane,solvents_ethanol,terpenes_3_carene,terpenes_alpha_bisabolol,terpenes_alpha_pinene,terpenes_eucalyptol,terpenes_alpha_terpinene,terpenes_geraniol,terpenes_guaiol,terpenes_beta_pinene,terpenes_beta_myrcene,terpenes_fenchol,terpenes_isoborneol,terpenes_menthol,terpenes_caryophyllene_oxide,terpenes_ocimene,terpenes_citronellol,terpenes_eugenol,terpenes_ro_cymene,terpenes_camphene,terpenes_beta_caryophyllene,terpenes_alpha_humulene,terpenes_terpinolene,terpenes_trans_nerolidol,terpenes_geranyl_acetate,terpenes_gamma_terpinene,terpenes_alpha_phellandrene,terpenes_beta_ocimene,terpenes_terpenes_unit,terpenes_isopulegol,terpenes_cis_nerolidol,terpenes_linalool,terpenes_fenchone,terpenes_delta_limonene,moisture_percent_moisture,moisture_moisture_unit,homogeneity_homogeneity,homogeneity_homogeneity_unit,water_activity_water_activity_unit,water_activity_water_activity,metals_nickel,metals_chromium,metals_metals_unit,metals_mercury,metals_cadmium,metals_lead,metals_copper,metals_arsenic,foreign_matter_foreign_matter_unit,foreign_matter_other,foreign_matter_stems,foreign_matter_pests,Classification,Production Method,solvents_n_butane,solvents_2_methylpentane,solvents_heptanes,solvents_o_xylene,solvents_1_pentanol,solvents_n_hexane,solvents_ethylene_glycol,solvents_dimethyl_sulfoxide,solvents_n_pentane,solvents_p_xylene,solvents_2_butanol,solvents_pentanes,solvents_1_2_dimethoxy_ethane,solvents_2_3_dimethyl_butane,solvents_2_ethoxyethanol,solvents_cyclohexane,solvents_n_n_dimethylfromamide,solvents_1_propanol,solvents_2_butanone,solvents_3_methylpentane,solvents_1_butanol,solvents_butanes,solvents_ethyl_benzene,solvents_n_n_dimethylacetamide,solvents_tetrahydrofuran,solvents_2_2_dimethyl_butane,solvents_pyridine,solvents_isopentane,solvents_cumene,solvents_iso_butane,solvents_1_4_dioxane,cannabinoids_total,terpenes_total,"
"
231,BC-21-CS-24440,Deep Breath Flower,Viridis Labs,10/01/2021,10/05/2021,"Deep Breath
",Plant,Flower - Cured,Passed,,,1A405030000571F000015918,1A405030000571F000015859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,BC-21-CS-25295,Blue Dream Flower,Viridis Labs,10/12/2021,10/19/2021,"Blue Dream
",Plant,Flower - Cured,Passed,,,1A405030001ABBF000000037,1A405030001ABBF000000030,,,,,,,,,,,,,,,,,,19.087%,,,0.046%,0.194%,0.000%,,0.000%,,,0.000%,0.000%,0.000%,0.322%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,1400,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.325%,0.000%,,0.000%,,0.160%,0.546%,,,,,0.000%,,,0.000%,,0.058%,0.021%,0.000%,,,,,2 0.000%,,0.000%,,0.044%,,0.043%,N/A,,,,,0.628,0.504,0.113,,0.002,0.003,0.002,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.913%,1.197%,
233,BC-21-CS-25296,Blue Dream Popcorn,Viridis Labs,10/12/2021,10/19/2021,"Blue Dream
",Plant,Flower - Cured,Passed,,,1A405030001ABBF000000039,1A405030001ABBF000000031,,,,,,,,,,,,,,,,,,14.839%,,,0.035%,0.145%,0.000%,,0.000%,,,0.000%,0.000%,0.000%,0.317%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,8100,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.185%,0.000%,,0.000%,,0.089%,0.270%,,,,,0.000%,,,0.000%,,0.036%,0.015%,0.000%,,,,,2 0.000%,,0.000%,,0.000%,,0.024%,N/A,,,,,0.592,0.502,0.146,,0.002,0.003,0.003,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.486%,0.618%,
234,BC-21-CS-25297,Uncle Bruce Flower,Viridis Labs,10/12/2021,10/19/2021,"Uncle Bruce
",Plant,Flower - Cured,Passed,,,1A4050300005721000006028,1A4050300005721000006020,,,,,,,,,,,,,,,,,,29.640%,,,0.062%,1.284%,0.000%,,0.000%,,,0.000%,0.000%,0.077%,0.350%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,1000,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.040%,0.000%,,0.000%,,0.078%,0.401%,,,,,0.000%,,,0.000%,,0.066%,0.022%,0.000%,,,,,2 0.000%,,0.000%,,0.154%,,0.335%,N/A,,,,,0.587,0.268,0.011,,0.001,0.002,0.002,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.169%,1.094%,
235,BC-21-CS-25298,Uncle Bruce Popcorn,Viridis Labs,10/12/2021,10/19/2021,"Uncle Bruce
",Plant,Flower - Cured,Passed,,,1A4050300005721000006029,1A4050300005721000006021,,,,,,,,,,,,,,,,,,25.594%,,,0.052%,1.226%,0.000%,,0.000%,,,0.000%,0.000%,0.065%,0.323%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,990,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.034%,0.000%,,0.000%,,0.067%,0.294%,,,,,0.000%,,,0.000%,,0.065%,0.021%,0.000%,,,,,2 0.000%,,0.000%,,0.137%,,0.273%,N/A,,,,,0.552,0.399,0.024,,0.001,0.002,0.003,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.902%,0.890%,
236,BC-21-CS-25299,Uncle Bruce Kief,Viridis Labs,10/12/2021,10/19/2021,"Uncle Bruce
",Plant,Kief,Passed,,,1A4050300005721000006030,1A4050300005721000006022,,,,,,,,,,,,,,,,,,50.236%,,,0.123%,0.997%,0.000%,,0.000%,,,0.000%,0.000%,0.108%,0.655%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,41000,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.076%,0.000%,,0.000%,,0.150%,0.564%,,,,,0.000%,,,0.000%,,0.103%,0.034%,0.000%,,,,,2 0.000%,,0.000%,,0.264%,,0.501%,N/A,,,,,0.529,0.119,0.082,,0.013,0.001,0.009,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.325%,1.692%,
237,BC-21-CS-25300,Pre '98 Bubba Kush Flower,Viridis Labs,10/12/2021,10/19/2021,,Plant,Flower - Cured,Passed,,,1A4050300005721000006031,1A4050300005721000006002,,,,,,,,,,,,,,,,,,16.185%,,,0.027%,0.337%,0.000%,,0.000%,,,0.000%,0.000%,0.104%,0.590%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,100,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.077%,0.000%,,0.000%,,0.086%,0.077%,,,,,0.000%,,,0.000%,,0.092%,0.024%,0.000%,,,,,2 0.013%,,0.000%,,0.091%,,0.269%,N/A,,,,,0.607,0.336,0.031,,0.001,0.002,0.003,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.419%,0.729%,
238,BC-21-CS-25301,Pre '98 Bubba Kush Flower,Viridis Labs,10/12/2021,10/19/2021,,Plant,Flower - Cured,Passed,,,1A4050300005721000006032,1A4050300005721000006003,,,,,,,,,,,,,,,,,,17.458%,,,0.031%,0.370%,0.000%,,0.000%,,,0.000%,0.000%,0.109%,0.673%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,<100,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.053%,0.000%,,0.000%,,0.060%,0.050%,,,,,0.000%,,,0.000%,,0.065%,0.018%,0.000%,,,,,2 0.011%,,0.000%,,0.065%,,0.188%,N/A,,,,,0.621,0.444,0.022,,0.001,0.002,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.801%,0.510%,
239,BC-21-CS-25302,Ice Cream Cake Flower,Viridis Labs,10/12/2021,10/19/2021,"Ice Cream Cake
",Plant,Flower - Cured,Passed,,,1A4050300005721000006033,1A4050300005721000006024,,,,,,,,,,,,,,,,,,25.549%,,,0.066%,0.836%,0.000%,,0.000%,,,0.000%,0.000%,0.149%,0.492%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,<100,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.039%,0.000%,,0.000%,,0.071%,0.024%,,,,,0.000%,,,0.000%,,0.081%,0.022%,0.000%,,,,,2 0.000%,,0.000%,,0.126%,,0.357%,N/A,,,,,0.581,0.467,0.016,,0.001,0.001,0.002,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.574%,0.719%,
240,BC-21-CS-25303,Ice Cream Cake Popcorn,Viridis Labs,10/12/2021,10/19/2021,"Ice Cream Cake
",Plant,Flower - Cured,Passed,,,1A4050300005721000006034,1A4050300005721000006025,,,,,,,,,,,,,,,,,,19.768%,,,0.049%,0.627%,0.000%,,0.000%,,,0.000%,0.000%,0.112%,0.325%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<100,0,,0,,5000,,,,,,,,,,,,,,,,,,,,,,,0.000%,,0.027%,0.000%,,0.000%,,0.050%,0.000%,,,,,0.000%,,,0.000%,,0.080%,0.024%,0.000%,,,,,2 0.000%,,0.000%,,0.140%,,0.217%,N/A,,,,,0.567,0.551,0.020,,0.001,0.002,0.003,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.216%,0.537%,
